epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.743,0,134.724,0,0,0,0,0,0,0,0,0.000653333,0.000653333,0.000653333
2,439.866,0,90.8687,0,0,0,0,0,0,0,0,0.00130693,0.00130693,0.00130693
3,742.587,0,65.2958,0,0,0,0,0,0,0,0,0.00194733,0.00194733,0.00194733
4,1003.03,0,49.056,0,0,0,0,0,0,0,0,0.0019406,0.0019406,0.0019406
5,1873.84,0,35.5226,0,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
6,2070.91,0,24.4487,0,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
7,2660.67,0,16.7128,0,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
8,2990.02,0,10.5925,0,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,3333.01,0,5.28476,0,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,3535.99,0,2.33684,0,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,3753.33,0,0.94058,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,3919.55,0,0.35958,0,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,4052.54,0,0.13234,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
14,4149.87,0,0.03157,0,0,0,0,0,0,0,0,0.0017426,0.0017426,0.0017426
15,4270.48,0,0.0095,0,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
16,4396.81,0,0.00369,0,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
17,4507.72,0,0.00325,0,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
18,4614.67,0,0.00124,0,0,0,0,0,0,0,0,0.0016634,0.0016634,0.0016634
19,4727.85,0,5e-05,0,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
20,4834.87,0,1e-05,0,0,0,0,0,0,0,0,0.0016238,0.0016238,0.0016238
21,4984.63,0,0,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,5098.5,0,0,0,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,5209.63,0,0,0,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,5318.64,0,0,0,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,5429.05,0,0,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,5545.15,0,0,0,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
27,5703.11,0,0,0,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
28,5801.86,0,0,0,0,0,0,0,0,0,0,0.0014654,0.0014654,0.0014654
29,5895.94,0,0,0,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
30,6011.4,0,0,0,0,0,0,0,0,0,0,0.0014258,0.0014258,0.0014258
31,6122.04,0,0,0,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
32,6219.67,0,0,0,0,0,0,0,0,0,0,0.0013862,0.0013862,0.0013862
33,6373.69,0,0,0,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
34,6488.65,0,0,0,0,0,0,0,0,0,0,0.0013466,0.0013466,0.0013466
35,6599.63,0,0,0,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
36,6716,0,0,0,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
37,6807.89,0,0,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,6907.26,0,0,0,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,7040.8,0,0,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,7156.91,0,0,0,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,7267.78,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,7384.09,0,0,0,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,7477.07,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,7576.39,0,0,0,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,7710.06,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,7826.51,0,0,0,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,7938.45,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,8056,0,0,0,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,8150.02,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,8248.64,0,0,0,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,8401.87,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
52,8516.01,0,0,0,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,8626.63,0,1e-05,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,8742.42,0,0,0,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
55,8830.82,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,8928.47,0,0,0,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,9086.87,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,9179.91,0,0,0,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,9274.21,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,9367.04,0,0,0,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,9458.51,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,9553.02,0,0,0,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,9688.4,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,9786.99,0,0,0,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,9879.12,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,9974.14,0,0,0,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,10065.8,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,10161.5,0,0,0,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,10297.4,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,10394.8,0,0,0,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
71,10486.5,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,10579.2,0,0,0,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
73,10670.2,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
74,10765.6,0,0,0,0,0,0,0,0,0,0,0.0005546,0.0005546,0.0005546
75,10902,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
76,11000.4,0,0,0,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
77,11091.8,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
78,11183.9,0,0,0,0,0,0,0,0,0,0,0.0004754,0.0004754,0.0004754
79,11273.9,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
80,11368.3,0,0,0,0,0,0,0,0,0,0,0.0004358,0.0004358,0.0004358
81,11503.8,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
82,11601.7,0,0,0,0,0,0,0,0,0,0,0.0003962,0.0003962,0.0003962
83,11692.9,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
84,11785.1,0,0,0,0,0,0,0,0,0,0,0.0003566,0.0003566,0.0003566
85,11875.5,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
86,11970.4,0,0,0,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
87,12088.8,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
88,12183.3,0,0,0,0,0,0,0,0,0,0,0.0002774,0.0002774,0.0002774
89,12268,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
90,12363.4,0,0,0,0,0,0,0,0,0,0,0.0002378,0.0002378,0.0002378
91,12463.6,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
92,12613.4,0,0,0,0,0,0,0,0,0,0,0.0001982,0.0001982,0.0001982
93,12796.5,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
94,12900,0,0,0,0,0,0,0,0,0,0,0.0001586,0.0001586,0.0001586
95,12995,0,0,0,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
96,13119.8,0,0,0,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
97,13237.3,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
98,13368.5,0,0,0,0,0,0,0,0,0,0,7.94e-05,7.94e-05,7.94e-05
99,13560,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
